501, Gyroscope, 349245.1889, 0.065743, -0.223852, 0.000736
502, Accelerometer, 349245.1889, -0.018411, 0.000514, -0.004835
503, Gravity, 349245.1889, -0.010672, -0.997005, -0.076601
504, Motion, 349245.1889
505, Heading, 349245.2251, 157.6878, 181.2185
506, Frame, 349245.1789, 42
507, Heading, 349245.2774, 158.6878, 182.2185
508, Gyroscope, 349245.2517, 0.054166, -0.178580, 0.018781
509, Accelerometer, 349245.2517, -0.008544, -0.019611, 0.035623
510, Gravity, 349245.2517, -0.013062, -0.997158, -0.074197
511, Motion, 349245.2517
512, Gyroscope, 349245.3144, 0.005586, -0.249987, 0.021672
513, Accelerometer, 349245.3144, 0.008495, -0.015674, -0.001619
514, Gravity, 349245.3144, -0.014873, -0.997250, -0.072599
515, Motion, 349245.3144
516, Frame, 349245.3123, 43
517, Heading, 349245.3811, 159.6878, 183.2185
518, Location, 349245.3979, -43.521698, 172.582437, 31.4066, 10.0000, 8.0000
